agent_type,agent_id,x,y,z,cell_state,additional_info
CANCER,369,27,21,23,PROGENITOR,divideCD=2;divideFlag=1
CANCER,370,27,20,24,PROGENITOR,divideCD=2;divideFlag=1
CANCER,371,27,20,26,PROGENITOR,divideCD=2;divideFlag=1
CANCER,372,27,21,28,PROGENITOR,divideCD=2;divideFlag=1
CANCER,373,28,22,21,PROGENITOR,divideCD=2;divideFlag=1
CANCER,374,27,22,23,PROGENITOR,divideCD=2;divideFlag=1
CANCER,375,29,22,25,PROGENITOR,divideCD=2;divideFlag=1
CANCER,376,28,22,25,PROGENITOR,divideCD=2;divideFlag=1
CANCER,377,27,22,26,PROGENITOR,divideCD=2;divideFlag=1
CANCER,378,27,22,29,PROGENITOR,divideCD=2;divideFlag=1
CANCER,379,28,21,30,PROGENITOR,divideCD=2;divideFlag=1
CANCER,380,28,22,19,PROGENITOR,divideCD=2;divideFlag=1
CANCER,381,28,23,21,PROGENITOR,divideCD=2;divideFlag=1
CANCER,382,27,23,23,PROGENITOR,divideCD=2;divideFlag=1
CANCER,383,28,23,24,PROGENITOR,divideCD=2;divideFlag=1
CANCER,384,27,23,24,PROGENITOR,divideCD=2;divideFlag=1
CANCER,385,28,23,26,PROGENITOR,divideCD=2;divideFlag=1
CANCER,386,28,23,27,PROGENITOR,divideCD=2;divideFlag=1
CANCER,387,26,23,30,PROGENITOR,divideCD=2;divideFlag=1
